audit_id,Cloud,Instance Type,Bottleneck Bandwidth,Create Time,End Time,Weekday,Time Chunk,Old Top Nodes,Old Cluster Size,Longitude,Latitude,Top Nodes,Cluster Size
35f70ba8d35344718067b04631365a3f,EKS,m5.xlarge,9.05396305105852,14.954906735555555,16.07591700472222,6,1,"[1, 1, 1]",3,4.060385275000975,70.53866847891814,"[2, 2, 1]",5
cd3681bb43e84a138d80ffaf0d32cfe6,GKE,n2-standard-4,9.612183097734908,19.795317886944442,1.793589876388889,1,2,"[1, 1, 1]",3,-72.16379294973277,82.02205229626098,"[2, 2, 2]",6
ef70504721444c45a2e74ea93ecef7f9,EKS,m5.xlarge,8.294340974061628,6.205700399166666,12.292756497222223,3,3,"[1, 1, 1]",3,-73.32484578875373,54.91215718069635,"[1, 1, 1]",3
7448cdea8bed4be0887245c3a5ca1717,EKS,m5.xlarge,8.509516806485388,6.205700399166666,12.292756497222223,3,3,"[1, 1, 1]",3,-80.46646091650297,59.33863144769941,"[1, 1, 1]",3
65d5ac5fa1cb4deda6f0596627c8708a,GKE,n2-standard-4,9.624133055534363,19.795317886944442,1.793589876388889,1,2,"[1, 1, 1]",3,-86.86083996058242,82.26787999956403,"[2, 2, 2]",6
f2d8c30a65db461199fda49924503e4c,EKS,m4.xlarge,0.7676714411904267,15.546901040555555,21.6797383225,5,1,"[1, 1, 1]",3,-79.13948870450899,88.0,"[1, 1, 1]",3
a25b4a70947d4a4095770417bc00f0db,EKS,m5.xlarge,8.712662154820357,13.962449953333333,20.146088241944444,1,1,"[1, 1, 1]",3,-78.52448792851307,63.517621470590214,"[1, 1, 1]",3
740b897662ac4012a69dcaf632ba27ff,EKS,m5.xlarge,8.793218329090482,13.962449953333333,20.146088241944444,1,1,"[1, 1, 1]",3,-82.8562127740768,65.17477705557563,"[1, 1, 1]",3
142f97ac6fa24fb0892ccc9406946ff3,EKS,m4.xlarge,0.7675208140682587,15.546901040555555,21.6797383225,5,1,"[1, 1, 1]",3,-81.7929429453375,88.0,"[1, 1, 1]",3
e5ff5f02dc0d4b88b1abd1421a7174b5,GKE,n2-standard-4,9.626093863558443,5.9966025775,11.985906439722223,3,3,"[1, 1, 1]",3,-87.86174793442632,82.30821662177368,"[2, 2, 1]",5
7927c66c51f944cdb9de56bc0229d4b0,GKE,n2-standard-4,9.61587285490278,17.239357645833334,18.245851667222222,1,1,"[1, 1, 1]",3,-2.7970917207731816,82.09795587228575,"[2, 2, 1]",5
00bfd452e5ed4283a18a0c64111093be,EKS,m5.xlarge,8.194956857421191,6.862166649444444,12.969338456666666,0,3,"[1, 1, 1]",3,-76.22056308063031,52.86768392409308,"[2, 1, 1]",4
27cde35375d84596877d3d18f388deaa,GKE,n2-standard-4,9.567075380309715,5.9966025775,11.985906439722223,3,3,"[1, 1, 1]",3,-82.08560412770103,81.09412210922844,"[2, 2, 1]",5
